Split,Eval Mode,Model,n_early,Features,R²,MAE,RMSE,MAPE,Cell R²,Train (s),Predict (s),n_train,n_test
combined_80_20,combined,Transformer,30,all,0.9118132816985289,0.029456907778028233,0.04178953963315441,4.291148828480294,0.8676948108411568,110.41,0.0317,217,55
combined_80_20,combined,LSTM_Attn,30,all,0.7343730705461127,0.05746613998228588,0.07252738967817529,7.977664085677756,0.6853298820179982,78.92,0.0331,217,55
combined_80_20,combined,TCN,30,all,0.456685242104906,0.08847521950394875,0.10372698319275098,11.959175368412653,0.22628260491203456,49.08,0.0261,217,55
combined_80_20,combined,PINN,30,all,0.750842291571088,0.05362597468429942,0.07024301755366023,7.678866810065705,0.6770138260275046,98.62,0.0519,217,55
combined_80_20,combined,HYBRID,30,all,0.6567263173236387,0.06784571170762908,0.0824491629122981,9.433522854034997,0.5500592371331249,62.17,0.0339,217,55
combined_80_20,combined,Transformer,50,all,0.8950954631734421,0.03443322515038507,0.045393478035338594,4.8386219028420445,0.8384305590851753,129.89,0.0278,217,55
combined_80_20,combined,LSTM_Attn,50,all,0.5853023312907152,0.07624899149148853,0.09025309860135458,10.261518290624837,0.4659563750935762,69.1,0.0482,217,55
combined_80_20,combined,TCN,50,all,0.580401777838693,0.07923291491822002,0.0907848005815223,10.602423971724482,0.33863855890528766,62.3,0.0379,217,55
combined_80_20,combined,PINN,50,all,0.8159851469052626,0.046305506529125635,0.06012052492897889,6.593334076768918,0.7665925459847719,148.26,0.0518,217,55
combined_80_20,combined,HYBRID,50,all,0.7888557275742798,0.0501458873760213,0.06440001622499521,7.197294794350037,0.7270707968991267,131.81,0.0527,217,55
ISU_only,combined,LightGBM,3,top3,0.8778472450625808,0.03362667592635175,0.05074171912489669,4.941357809665917,0.8345608132467198,15.2,1.099,201,50
ISU_only,combined,XGBoost,3,top3,0.8538586371635181,0.0374646381215228,0.055500912108541384,5.513905589505094,0.8109001622962598,4.59,0.9948,201,50
ISU_only,combined,GradBoost,3,top3,0.8787780425856041,0.03258371604723499,0.0505480248280792,4.8124600960131785,0.8341221628386031,99.95,0.6916,201,50
ISU_only,combined,LightGBM,3,top5,0.9164792278610412,0.02573740432280135,0.0419576150641378,3.7062720048292497,0.8781250201820319,10.62,1.0929,201,50
ISU_only,combined,XGBoost,3,top5,0.8996972036135097,0.028754272425332576,0.04598011619782866,4.145293379425132,0.8645890894943978,5.61,1.0291,201,50
ISU_only,combined,GradBoost,3,top5,0.9268779468897478,0.024631208911346743,0.03925886433913935,3.536167749601803,0.8903286946473359,125.0,0.7381,201,50
ISU_only,combined,LightGBM,3,top10,0.8928209619014862,0.02901053073377174,0.04753007191949945,4.179544183436565,0.8498429395612612,12.27,1.069,201,50
ISU_only,combined,XGBoost,3,top10,0.8872232960202199,0.030273556693409694,0.048755458257610663,4.314374131329028,0.8406098640854871,7.97,1.0301,201,50
ISU_only,combined,GradBoost,3,top10,0.9112466019916603,0.027552514992123082,0.0432519844944017,3.95635018424318,0.8656296336607144,161.65,0.8128,201,50
ISU_only,combined,LightGBM,3,top20,0.9019438303471713,0.029388419632198518,0.045462258406348294,4.161857480735324,0.8531978863144468,16.74,1.1242,201,50
ISU_only,combined,XGBoost,3,top20,0.89344490601274,0.029684037041688333,0.047391521527791,4.245361225782035,0.8459456844330029,12.18,1.02,201,50
ISU_only,combined,GradBoost,3,top20,0.9146415897271162,0.027005001647347506,0.042416682946982844,3.852555936632073,0.8702287595737406,228.13,0.6853,201,50
ISU_only,combined,LightGBM,3,all,0.8858690695898379,0.030881185791606636,0.04904731330693474,4.387124782919115,0.8405590989644139,29.19,1.1223,201,50
ISU_only,combined,XGBoost,3,all,0.8981172881634059,0.028967630128227985,0.04634082828472267,4.154316612294822,0.8531122801392763,22.35,1.0597,201,50
ISU_only,combined,GradBoost,3,all,0.9070862652859822,0.02889808356328062,0.0442540989387954,4.100989308424055,0.861852785153197,324.73,0.8101,201,50
ISU_only,combined,LightGBM,5,top3,0.8773908908798105,0.033687732263981925,0.0508007619210058,4.951272528883751,0.8318869900170698,9.2,1.0937,201,50
ISU_only,combined,XGBoost,5,top3,0.8533100809679747,0.03753526948968902,0.05556598175435986,5.525239146648474,0.8079327220475561,4.46,0.981,201,50
ISU_only,combined,GradBoost,5,top3,0.8783247547939439,0.03264162989303352,0.05060692771450206,4.82200110232709,0.8316966825752949,100.84,0.5961,201,50
ISU_only,combined,LightGBM,5,top5,0.9165877152761102,0.026057599398397906,0.041900949655164346,3.731691137886059,0.883708116249262,10.79,1.1727,201,50
ISU_only,combined,XGBoost,5,top5,0.8974508060580859,0.02842165607312581,0.04645954830031854,4.08749151134884,0.8634064581494101,5.55,1.0089,201,50
ISU_only,combined,GradBoost,5,top5,0.9238076881712589,0.024738163968483214,0.04004648779939763,3.5502101210404153,0.8854830211778913,127.05,0.74,201,50
ISU_only,combined,LightGBM,5,top10,0.8876405460208019,0.030116169326075245,0.04863105235016434,4.277893286184719,0.8411232000745855,13.75,1.0471,201,50
ISU_only,combined,XGBoost,5,top10,0.8787645558704555,0.030347511687899266,0.05051538431997118,4.33892465975393,0.831302624835446,7.76,1.0037,201,50
ISU_only,combined,GradBoost,5,top10,0.9084952023457408,0.027935463190210983,0.04388648416704752,3.9972443471314802,0.8574010445193899,161.85,0.8273,201,50
ISU_only,combined,LightGBM,5,top20,0.896418065003821,0.030158824057198247,0.046692902098057244,4.278111037874336,0.8463580340604028,19.19,1.0393,201,50
ISU_only,combined,XGBoost,5,top20,0.8818690872130076,0.030667082363549945,0.04986440455992696,4.381173705108845,0.8306710627641182,12.27,1.0589,201,50
ISU_only,combined,GradBoost,5,top20,0.9119584437588345,0.02737265487479868,0.04304797361656553,3.9137642016672927,0.8660459284858135,229.06,0.7688,201,50
ISU_only,combined,LightGBM,5,all,0.9027434725868734,0.02948361798216657,0.045244754595155576,4.176267188200409,0.8502059464145993,24.5,1.1702,201,50
ISU_only,combined,XGBoost,5,all,0.8905853561716902,0.029715904881287804,0.04798953955505249,4.227429634982269,0.8364653904296081,22.01,1.0625,201,50
ISU_only,combined,GradBoost,5,all,0.9024487845223712,0.028959196250913238,0.04531324873609032,4.127006690545571,0.8528740566422534,325.48,0.7996,201,50
ISU_only,combined,LightGBM,10,top3,0.8754319665528891,0.033982195465148114,0.051052011738761546,4.996533243283687,0.8243966507150076,9.1,1.1253,201,50
ISU_only,combined,XGBoost,10,top3,0.8509710410932344,0.03785977807236667,0.05583993319594794,5.5753953940523315,0.7996368113777224,4.43,0.9605,201,50
ISU_only,combined,GradBoost,10,top3,0.8763769888522457,0.03293084081059575,0.050857992700019616,4.866505878051525,0.8232403255511556,101.04,0.581,201,50
ISU_only,combined,LightGBM,10,top5,0.9212357952213266,0.02577480075309298,0.04059513617664776,3.687433045011664,0.8771989573848264,11.63,1.0668,201,50
ISU_only,combined,XGBoost,10,top5,0.8949287508182626,0.02925790962521247,0.046886898318340677,4.181656257847503,0.8483783433007794,5.53,1.0205,201,50
